User ID Number,Gender,Seeking,Age,Profile Visits,Kisses,Fans,Country Name,Country Cordinates,User Country,City Cordinates,Last Known City Location,Location,lastOnlineDate,lastOnlineTime,User ID,Age Category
2232,F,M,25,877,19,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Mainz-Laubenheim,2015-04-06T16:13:40Z,1428336820,550f0c9b1c0ba00e328b45a0,Late Twenties
2233,F,M,22,15,0,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Frankfurt am Main,2015-04-06T16:04:36Z,1428336276,550f14ffe56da1506d8b456e,Early Twenties
2234,F,M,23,1067,38,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.7538∞ N, 7.1460∞ E",Ependes,Gossau ZH,2015-04-06T14:57:42Z,1428332262,550f1fd5c56da1bf7d8b46df,Early Twenties
2235,F,M,23,2403,142,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.9480∞ N, 7.4474∞ E",Bern,Zollikofen,2015-04-19T11:51:49Z,1429444309,550f1e2ec86da195638b4811,Early Twenties
2236,F,M,25,744,64,10,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Besan√ßon,2015-04-06T15:37:47Z,1428334667,550f235c076ea1801f8b456d,Late Twenties
2237,F,M,23,511,15,0,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Grenoble,2015-04-06T14:10:41Z,1428329441,550f2326c56da19d048b48cb,Early Twenties
2238,F,M,19,502,18,0,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Allan,2015-04-06T14:23:40Z,1428330220,55107eb5cb6da163628b4584,Early Twenties
2239,F,M,22,2179,181,0,France,"46.2276∞ N, 2.2137∞ E",FR,"45.7640∞ N, 4.8357∞ E",Lyon,Annecy,2015-05-03T09:17:44Z,1430644664,550f2b3c160ba02d6b8b4621,Early Twenties
2240,F,M,24,1170,33,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"46.3833∞ N, 6.2348∞ E",Nyon,K√∂niz,2015-04-19T09:19:02Z,1429435142,550f2ce4190ba0c95a8b4b01,Early Twenties
2241,F,M,21,657,6,0,Germany,"51.1657∞ N, 10.4515∞ E",DE,"48.7758∞ N, 9.1829∞ E",Stuttgart,Mainz,2015-04-06T15:03:41Z,1428332621,550f3d2dea6da18b748b481d,Early Twenties
2242,F,none,26,1609,83,0,Switzerland,"46.8182∞ N, 8.2275∞ E",CH,"47.3769∞ N, 8.5417∞ E",Zurich,Meilen,2015-04-06T16:11:03Z,1428336663,550f43bccb6da1eb508b467a,Late Twenties
